county,fips,date_local,ozone_avg
Bell,48027,2019-10-10,39
Bell,48027,2019-10-11,29
Bell,48027,2019-10-12,41
Bell,48027,2019-10-13,43
Bell,48027,2019-10-14,38
Bell,48027,2019-10-15,15
Bell,48027,2019-10-16,40
Bell,48027,2019-10-17,40
Bell,48027,2019-10-18,48
Bell,48027,2019-10-19,51
Bell,48027,2019-10-20,41
Bell,48027,2019-10-21,42
Bell,48027,2019-10-22,46
Bell,48027,2019-10-23,53
Bell,48027,2019-10-24,35
Bell,48027,2019-10-25,24
Bell,48027,2019-10-26,41
Bell,48027,2019-10-27,57
Bell,48027,2019-10-28,29
Bell,48027,2019-10-29,7
Bell,48027,2019-10-30,16
Bell,48027,2019-10-31,30
Bell,48027,2019-11-01,35
Bell,48027,2019-11-02,46
Bell,48027,2019-11-03,54
Bell,48027,2019-11-04,55
Bell,48027,2019-11-05,31
Bell,48027,2019-11-06,41
Bell,48027,2019-11-07,32
Bell,48027,2019-11-08,18
Bell,48027,2019-11-09,38
Bell,48027,2019-11-10,51
Bell,48027,2019-11-11,27
Bell,48027,2019-11-12,33
Bell,48027,2019-11-13,27
Bell,48027,2019-11-14,19
Bell,48027,2019-11-15,41
Bell,48027,2019-11-16,45
Bell,48027,2019-11-17,43
Bell,48027,2019-11-18,44
Bell,48027,2019-11-19,55
Bell,48027,2019-11-20,39
Bell,48027,2019-11-21,38
Bell,48027,2019-11-22,16
Bell,48027,2019-11-23,24
Bell,48027,2019-11-24,44
Bell,48027,2019-11-25,44
Bell,48027,2019-11-26,28
Bell,48027,2019-11-27,32
Bell,48027,2019-11-28,25
Bell,48027,2019-11-29,9
Bell,48027,2019-11-30,34
Bell,48027,2019-12-01,34
Bell,48027,2019-12-02,39
Bell,48027,2019-12-03,41
Bell,48027,2019-12-04,41
Bell,48027,2019-12-05,43
Bell,48027,2019-12-06,41
Bell,48027,2019-12-07,42
Bell,48027,2019-12-08,54
Bell,48027,2019-12-09,39
Bell,48027,2019-12-10,16
Bell,48027,2019-12-11,32
Bell,48027,2019-12-12,30
Bell,48027,2019-12-13,34
Bell,48027,2019-12-14,47
Bell,48027,2019-12-15,38
Bell,48027,2019-12-16,23
Bell,48027,2019-12-17,37
Bell,48027,2019-12-18,41
Bell,48027,2019-12-19,43
Bell,48027,2019-12-20,29
Bell,48027,2019-12-21,29
Bell,48027,2019-12-22,35
Bell,48027,2019-12-23,36
Bell,48027,2019-12-24,55
Bell,48027,2019-12-25,43
Bell,48027,2019-12-26,24
Bell,48027,2019-12-27,31
Bell,48027,2019-12-28,26
Bell,48027,2019-12-29,32
Bell,48027,2019-12-30,37
Bell,48027,2019-12-31,38
Bell,48027,2020-01-01,34
Bell,48027,2020-01-02,20
Bell,48027,2020-01-03,30
Bell,48027,2020-01-04,41
Bell,48027,2020-01-05,42
Bell,48027,2020-01-06,41
Bell,48027,2020-01-07,40
Bell,48027,2020-01-08,46
Bell,48027,2020-01-09,36
Bell,48027,2020-01-10,33
Bell,48027,2020-01-11,28
Bell,48027,2020-01-12,32
Bell,48027,2020-01-13,20
Bell,48027,2020-01-14,21
Bell,48027,2020-01-15,26
Bell,48027,2020-01-16,12
